category	document	clause	anchor	scenario	guidance
appointments	health_act	10(a)	the types, availability and cost	patients ask which services are available	Use the facility's published service information to explain availability and any stated charges; do not invent prices.
appointments	health_act	10(b)	the organization of health services	patients ask how services are organized	Use the published organization of services to direct patients to the appropriate administrative service point.
appointments	health_act	10(c)	operating schedules and timetables of visits	a patient asks when to attend	Check the facility's published operating schedule and visiting timetable before communicating attendance information.
appointments	health_act	10(d)	procedures for access to the health services	a patient asks how to access a clinic	Explain the facility's published access procedure rather than inventing a booking route or promising an unavailable slot.
appointments	health_act	10(f)	the rights and duties of users and healthcare providers	patients ask about their responsibilities at a visit	Direct patients to the applicable service charter and published rights and duties for the facility.
appointments	health_act	5(2)	treated with dignity, respect and have their privacy respected	a waiting-area interaction becomes disrespectful	Handle the interaction respectfully and protect the patient's privacy while arranging administrative assistance.
appointments	health_act	8(2)	in a language that the user understands	a patient cannot understand information about a planned visit	Arrange for the healthcare provider to explain the information in an understandable language and manner appropriate to the patient's literacy.
appointments	health_act	8(1)(c)	benefits, risks, costs and consequences	patients ask reception to explain treatment options before booking	Connect the patient with the healthcare provider for the benefits, risks, costs and consequences of the options; reception must not make clinical recommendations.
appointments	health_act	13(a)	adhere to the rules of a health facility	a patient asks which facility rules apply during attendance	Point the patient to the facility's published rules for using its services and clarify administrative requirements without inventing restrictions.
appointments	data_protection_general_regulations	4(1)(a)	the identity of the data controller or data processor	a scheduling consent notice does not identify the organization	Have the responsible data team identify the controller or processor in the notice before seeking consent for the scheduling-data use.
appointments	data_protection_general_regulations	4(1)(b)	the purpose of each of the processing operations	one consent form covers several appointment-data uses	Explain each processing purpose separately when consent is the basis for using appointment information.
appointments	data_protection_general_regulations	4(1)(c)	the type of personal data that is collected and used	a patient asks what appointment data consent covers	Explain the types of personal data collected and used for the consent-based appointment process.
appointments	data_protection_general_regulations	4(1)(f)	whether the personal data processed shall be shared with third parties	a scheduling consent notice omits third-party sharing	Include whether personal data will be shared with third parties before seeking consent for that processing.
appointments	data_protection_general_regulations	4(1)(g)	the right to withdraw consent	a patient asks whether appointment-data consent can be withdrawn	Explain the right to withdraw consent and route a withdrawal request to the team responsible for the relevant processing.
appointments	data_protection_general_regulations	4(1)(h)	the implications of providing, withholding or withdrawing consent	a patient is uncertain about giving optional scheduling-data consent	Explain the implications of giving, withholding or withdrawing that consent without pressuring the patient.
appointments	data_protection_general_regulations	4(2)	written notice, oral statement, audio or video message	the team is choosing how to communicate a consent notice	Use an accessible notice format; the regulations allow written, oral, audio or video communication of consent information.
appointments	data_protection_general_regulations	4(3)(a)	data subject has capacity to give consent	a scheduler is unsure whether a person can give data-processing consent	Refer the capacity question to the responsible team before relying on consent; do not make a clinical capacity assessment at reception.
appointments	data_protection_general_regulations	4(3)(b)	data subject voluntarily gives consent	patients feel pressured to agree to optional appointment-data use	Ensure consent is voluntary; refer pressure or coercion concerns to the responsible privacy team.
appointments	data_protection_general_regulations	4(3)(c)	consent is specific to the purpose of processing	a scheduler wants to reuse general consent for a new task	Confirm that consent specifically covers the proposed processing purpose before relying on it.
appointments	data_protection_general_regulations	4(4)(a)	it is presumed on the basis that the data subject did not object	a scheduler treats silence as agreement to optional messaging	Do not presume consent merely because the patient did not object to the proposed processing.
appointments	data_protection_general_regulations	4(4)(b)	it is presented as a non-negotiable part	a form makes optional data consent non-negotiable	Refer the form for correction; presenting consent as non-negotiable undermines freely given consent.
appointments	data_protection_general_regulations	4(4)(c)	the data subject is unable to refuse or withdraw their consent without detriment	a patient fears a penalty for refusing optional data use	Escalate the consent design for review when refusal or withdrawal would cause detriment.
appointments	data_protection_general_regulations	4(4)(d)	merges several purposes for processing without seeking	scheduling and promotional purposes are bundled together	Separate the processing purposes and seek specific consent for each purpose when relying on consent.
appointments	data_protection_general_regulations	4(4)(e)	the intention of the data subject is ambiguous	a patient's reply about optional messages is unclear	Clarify the patient's intention before treating an ambiguous reply as consent.
appointments	data_protection_general_regulations	4(5)	restrict the part of the processing in respect of which consent is withdrawn	a patient withdraws consent to one optional appointment-data use	Route the withdrawal for restriction of the affected processing, subject to the applicable statutory exceptions; do not assume all healthcare records must be deleted.
registration	data_protection_act	25(a)	processed in accordance with the right to privacy	a registration process exposes personal details unnecessarily	Arrange registration in a way that respects the patient's privacy and refer the exposure for correction.
registration	data_protection_act	25(b)	processed lawfully, fairly and in a transparent manner	a registration practice is unclear to patients	Have the responsible team ensure that the processing is lawful, fair and transparent to patients.
registration	data_protection_act	25(c)	collected for explicit, specified and legitimate purposes	a new registration field has no defined purpose	Ask the data owner to define a specific legitimate purpose before collecting the additional information.
registration	data_protection_act	25(d)	adequate, relevant, limited to what is necessary	a registration form requests excessive information	Limit collection to information necessary and relevant to the stated registration purpose.
registration	data_protection_act	25(e)	valid explanation is provided whenever information relating to family	a form asks about private family affairs	Provide a valid explanation for requiring family or private information and refer unnecessary questions for removal.
registration	data_protection_act	25(f)	accurate and, where necessary, kept up to date	a patient reports outdated registration details	Route the correction promptly so the responsible records team keeps personal information accurate and up to date.
registration	data_protection_act	25(g)	no longer than is necessary for the purposes	the team proposes keeping identifiable registration data forever	Apply the approved purpose-based retention process rather than indefinite retention by default.
registration	data_protection_act	26(a)	to be informed of the use to which their personal data	a patient asks why registration information is used	Explain the intended uses of the patient's personal data or connect them with the responsible data team.
registration	data_protection_act	26(b)	to access their personal data in custody	a patient wants access to their registration record	Route the request through the facility's data-access process rather than dismissing the patient's access right.
registration	data_protection_act	26(c)	to object to the processing of all or part	a patient objects to a registration-data use	Record and route the objection to the responsible data team for assessment under the applicable process.
registration	data_protection_act	26(d)	to correction of false or misleading data	a patient identifies misleading information in their record	Help the patient submit a correction request to the responsible records team.
registration	data_protection_act	26(e)	to deletion of false or misleading data about them	a patient asks to delete false information	Route the deletion request to the responsible data team; do not promise unrestricted deletion of the entire health record.
registration	data_protection_act	27(a)	where the data subject is a minor	a guardian seeks to exercise a child's data rights	Use the representative-rights process to establish parental authority or guardianship before handling the child's request.
registration	data_protection_act	27(b)	person duly authorised to act as their guardian or administrator	a representative requests records for a person with a disability	Establish the representative's authority as guardian or administrator through the responsible team; do not assume disability alone removes the person's rights.
registration	data_protection_act	27(c)	person duly authorised by the data subject	a patient appoints someone to make a data-rights request	Verify the representative's authorization through the facility's process before handling the request on the patient's behalf.
registration	data_protection_act	28(1)	collect personal data directly from the data subject	a registrar chooses where to obtain patient information	Collect information directly from the patient as the default; refer proposed exceptions for assessment rather than assuming indirect collection is always permitted.
